Tes_Tes;TES
Tes_Refresh;Päivitä
Tes_New_Tes;Lisää uusi TES
Tes_Search;Etsi
Tes_No_Tes;Ei dataa
Tes_Submit;Lisää uusi TES
Tes_Close;Peruuta
Tes_Error;Error
Tes_Success;Onnistui
Tes_Sending;Lähettää
Tes_New_Tes_Created;Uusi TES luotu
Tes_Delete;Poista TES
Tes_Delete_Tooltip;Poista TES tästä napista
Tes_Are_You_Sure;Oletko varma
Tes_Are_You_Sure_Text;Toimintoa ei voi peruutta
Tes_Page;Sivu
Tes_Start_Date;Voimassa alkaen
Tes_Effective_Date;Voimassa asti
Tes_La;Lisät Lauantai
Tes_Su;Lisat Sunnuntai
Tes_Lisat_Ilta;Lisät Ilta
Tes_Lisat_Yo;Lisät Yö