Timesheetsarm_Timesheetsarm;Tuntikortit ja palkkanauhat
Timesheetsarm_Euro;€
Timesheetsarm_Fullname;Nimi
Timesheetsarm_Username;Käyttäjän nimi
Timesheetsarm_Next;Seuraava käsittelijä
Timesheetsarm_Status;Status
Timesheetsarm_Agreeement_Id;Työsopimus
Timesheetsarm_Timesheet_Name;Selite
Timesheetsarm_Refresh;Lataa
Timesheetsarm_Refresh_Tooltip;Lataa tuntikortit tästä napista uudestaan
Timesheetsarm_Search;Etsi
Timesheetsarm_Page;Sivu
Timesheetsarm_No_Timesheets;Ei yhtään tuntikorttia
Timesheetsarm_Edit_Timesheet;Tarkasta valittu tuntikortti
Timesheetsarm_Edit_Timesheet_Tooltip;Tarkasata valittu tuntikortti tästä napista
Timesheetsarm_Create_New;Lisää uusi tuntikortti
Timesheetsarm_Create_New_Tooltip;Lisää uusi tuntikortti tästä napista
Timesheetsarm_Agreement;Työsopimus
Timesheetsarm_Submit;Tallenna
Timesheetsarm_Close;Peruuta
Timesheetsarm_Sending;Tallentaa
Timesheetsarm_Success;Onnistui
Timesheetsarm_Error;Virhe
Timesheetsarm_Success_Text;Tuntikortin luonti onnistui
Timesheetsarm_Access_Denied;Ei oikeuksia
Timesheetsarm_Access_Denied_Text;Tuntikortti on käsittelyssä toisella käyttäjällä 
Timesheetsarm_Memo;Memo
Timesheetsarm_Order_Id;Tilausvahvistus
Timesheetsarm_Occupation;Ammattinimike
Timesheetsarm_Delete_Timesheet;Poista tuntikortti
Timesheetsarm_Delete_Timesheet_Tooltip;Poista tuntikortti tästä napista
Timesheetsarm_Are_You_Sure_Title;Oletko varma?
Timesheetsarm_Are_You_Sure_Text;Toimintoa ei voi peruuttaa
Timesheetsarm_Start_Date;Aloituspäivä
Timesheetsarm_Date_Completed;Lopetuspäivä
Timesheetsarm_Permanent;Toistaiseksi
Timesheetsarm_True;Kyllä
Timesheetsarm_False;Ei
Timesheetsarm_Date_Time_Created;Päivämäärä
Timesheetsarm_Description;Selite
Timesheetsarm_Invoicing;Tuntikortit laskutusta varten
Timesheetsarm_Salary;Tuntikortit
Timesheetsarm_Workplace_Name;Asiakas
Timesheetsarm_Pay_Timesheet;Laske ja maksa palkat
Timesheetsarm_Pay_Timesheet_Tooltip;Laske ja maksa palkat tästä napista
Timesheetsarm_Timesheet_Salary_Paid;Palkkat laskettu
Timesheetsarm_Project_ID;Projekti ja/tai Kustannuspaikka
Timesheetsarm_Action_Date;PVM
Timesheetsarm_Action_Time_Start;Aloitusaika
Timesheetsarm_Action_Time_End;Lopetusaika
Timesheetsarm_NORMI_PAIVA;norm.
Timesheetsarm_La;la
Timesheetsarm_Su;su
Timesheetsarm_Lisat_Ilta;Iltalisä
Timesheetsarm_Lisat_Yo;Yölisä
Timesheetsarm_Ylityo_Vrk_50;Ylityö vrk 50
Timesheetsarm_Ylityo_Vrk_100;Ylityö vrk 100
Timesheetsarm_Ylityo_Viik_50;Ylityö viik 50
Timesheetsarm_Ylityo_Viik_100;Ylityö viik 100
Timesheetsarm_ATV;ATV
Timesheetsarm_Matka_Tunnit;Matkatunnit
Timesheetsarm_Paivaraha_Osa;Osapäiväraha
Timesheetsarm_Paivaraha_Koko;Kokopäiväraha
Timesheetsarm_Ateria_Korvaus;Ateriakorvaus
Timesheetsarm_Km_Korvaus;Kilometrikorvaus
Timesheetsarm_Tyokalu_Korvaus;Työkalukorvaus
Timesheetsarm_Km_Description;Kilometrikorvauksen selite
Timesheetsarm_HUOMIOITA;HOUMIOITA
Timesheetsarm_Person;Henkilö
Timesheetsarm_Started;Alkoi
Timesheetsarm_Ended;Päättyi
Timesheetsarm_Name;Työntekijän nimi
Timesheetsarm_Equal;Yhteensä
Timesheetsarm_Days_In_Work;Päivää töissä
Timesheetsarm_Pdf_Timesheet;Tee tuntikortista PDF
Timesheetsarm_Pdf_Timesheet_Tooltip;Tee tuntikortista PDF tästä napista
Timesheetsarm_Employee_Timesheet;Työntekijän tuntikortti
hour_status_id;Status
project_id;Projekti ja/tai Kustannuspaikka
action_date;PVM
action_time_start;Aloitusaika
action_time_end;Lopetusaika
NORMI_PAIVA;norm.
la;la
su;su
lisat_ilta;Iltalisä
lisat_yo;Yölisä
ylityo_vrk_50;Ylityö vrk 50
ylityo_vrk_100;Ylityö vrk 100
ylityo_viik_50;Ylityö viik 50
ylityo_viik_100;Ylityö viik 100
ATV;ATV
matka_tunnit;Matkatunnit
paivaraha_osa;Osapäiväraha
paivaraha_koko;Kokopäiväraha
ateria_korvaus;Ateriakorvaus
km_korvaus;Kilometrikorvaus
tyokalu_korvaus;Työkalukorvaus
km_description;Kilometrikorvauksen selite
HUOMIOITA;HUOMIOITA
memo;Memo
Timesheetsarm_Timesheet_Sent;Tuntikortti lähetetty hyväksyttäväksi
Timesheetsarm_Timesheet_Created;Tuntikortti luotu
Timesheetsarm_Timesheet_Accepted;Tuntikortti hyväksytty
Timesheetsarm_Sent_To_Hrm;Pääkäyttäjä hyväksyi tuntikortin
Timesheetsarm_Return_To_Employee;Pääkäyttä palautti tuntikortin virheellisänä
Timesheetsarm_Hour_Status_Incorrect;Hylkää/hyväksy valikoista pitää valita joko hylkää tai hyväksy
Timesheetsarm_Memo_Missing;Yhdestä tai useammasta hylätystä rivistä puutuu memo!
Timesheetsarm_Hour_Status_Incorrect_Not_Can;Et voi hyväksyä tuntikorttia jos et ole valinnut kaikkin kenttiin Hyväksytty
Timesheetsarm_Hour_Status_Incorrect_Not_Can_All;Et voi hylätä tuntikorttia jos kaikkiin kenttiin on valittu Hyväksytty
Timesheetsarm_Project_Id;Tilausvahvistus
Timesheetsarm_Employee_Name;Nimi
Timesheetsarm_Customer;Asiakas
Timesheetsarm_Timesheet_Id;Tuntikortin ID
Timesheetsarm_HUOMIOITA;HUOMIOITA
Timesheetsarm_Puuttuu;puuttuu
Timesheetsarm_Payment_History;Maksatushistoria
Timesheetsarm_History;Tapahtumahistoria
Timesheetsarm_Payment_Date;Päivämäärä
Timesheetsarm_Payment_File;Maksatustiedosto
Timesheetsarm_Load_Payment_File;Lataa maksatustiedosto
Timesheetsarm_Load_Payment_File_Tooltip;Lataa maksatustiedosto tästä napista
Timesheetsarm_Changed_Status;Pääkäyttäjä vaihtoi tuntikortin statusta
Timesheetsarm_Timesheet_Settings;Tuntikortin asetukset
Timesheetsarm_Salary_Settings;Yhtiön perus, vero ja tiliöintitiedot
Timesheetsarm_No_Cards;Ei palkkanauhoja
Timesheetsarm_Salary_Cards;Palkkanauhat
Timesheetsarm_Unemployment;Työttömyysvakuutus %
Timesheetsarm_Datepayment;Päiväraha
Timesheetsarm_Responsibility;Vastuuvakuutus %
Timesheetsarm_Group;Ryhmähenkivakuutusmaksu %
Timesheetsarm_Tax;Ennakkopidätysmaksu
Timesheetsarm_TyELTT;Työeläkevakuutusmaksu	- TT:n osuus, alle 53 v.
Timesheetsarm_TyELTT53;Työeläkevakuutusmaksu - TT:n osuus, yli 53 v.
Timesheetsarm_UnemploymentTT;Työttömyysvakuutus - TT:n osuus
Timesheetsarm_Ay;AY-jäsenmaksutiedot – Jäsenmaksuprosentti
Timesheetsarm_Downlaod_Salary_Card;Lataa palkkanauha PDF-muodossa
Timesheetsarm_Downlaod_Salary_Card_Tooltip;Lataa palkkanauha PDF-muodossa tästä napista
Timesheetsarm_Delete_Salary_Card;Poista palkkalaskelma
Timesheetsarm_Delete_Salary_Card_Tooltip;Poista palkkalaskelma tästä napista
Timesheetsarm_Salary_Card_Sender;Lähettäjä Avsändare
Timesheetsarm_Salary_Card_Receiver;Vastaanottaja Mottagare
Timesheetsarm_Salary_Card_Payment_Period;Palkkakausi Löneperiod
Timesheetsarm_Salary_Card_Payment_Time;Ajalta För tiden
Timesheetsarm_Salary_Card_Agreement;Työsuhde Arbetsförhåll.
Timesheetsarm_Salary_Card_Person;Henkilö Person
Timesheetsarm_Salary_Card_Pr_Vt;Pr/Vt Lg/Sg
Timesheetsarm_Salary_Card_Tax_Card;Verokortti Skattekort
Timesheetsarm_Salary_Card_Social_Security_Id;Henkilötunnus Personbeteckning
Timesheetsarm_Salary_Card_Kumulat;Kumulat. verotiedot Kumulat. skatteuppgifter
Timesheetsarm_Salary_Card_Kk_Salary;Kuukausipalkka
Timesheetsarm_Salary_Card_Car_Benefit;Autoetu
Timesheetsarm_Salary_Card_Phone_Benefit;Puhelinetu
Timesheetsarm_Salary_Card_Type;Palkkalaji Löneslag
Timesheetsarm_Salary_Card_Time;Aika/Määrä Tid/Antal
Timesheetsarm_Salary_Card_Price;A-hinta A-pris
Timesheetsarm_Salary_Card_Euro;Euro
Timesheetsarm_Salary_Card_Period;Kaudelta För perioden
Timesheetsarm_Salary_Card_TyEL;TYEL
Timesheetsarm_Salary_Card_Unemployment;Työttömyysvakuutusmaksu
Timesheetsarm_Salary_Card_Ay;Ay-maksut
Timesheetsarm_Salary_Card_Signess;Sairausvak.päivärahamaksu
Timesheetsarm_Salary_Card_Km_Penefit;Km-korvaukset
Timesheetsarm_Salary_Card_Full_Day;Kokopäiväraha
Timesheetsarm_Salary_Card_Part_Day;Osapäiväraha
Timesheetsarm_Salary_Card_Abroad_Money;Ulkomaan päiväraha
Timesheetsarm_Salary_Card_Meal_Penefit;Ateriakorvaus
Timesheetsarm_Salary_Card_Salary_Money;Rahapalkka Penninglön
Timesheetsarm_Salary_Card_Salary_Before;Enn.al.ansio Skattepl.ink
Timesheetsarm_Salary_Card_Salary_Equal;Tulot yht. Inkomst tot.
Timesheetsarm_Salary_Card_Salary_Enpid;Enn.pid. Försk.innehåll.
Timesheetsarm_Salary_Card_Salary_Vahen_Equal;Vähenn. yht. Avdrag tot.
Timesheetsarm_Salary_Card_Salary_Come_To_Paid;Maksetaan Utbetalas
Timesheetsarm_Salary_Card_Start_Of_Year;Vuoden alusta Från årets början
Timesheetsarm_Salary_Card_Prev_Year;Edellinen vuosi Föregående år
Timesheetsarm_Salary_Card_Hour;Tuntipalkka
Timesheetsarm_Salary_Card_Month;Kuukausipalkka
Timesheetsarm_Salary_Card_Net_Income;Nettopalkka
Timesheetsarm_Salary_Card_Tax;Ennakonpidätys
Timesheetsarm_Salary_Card_TYEL;Eläkemaksu
Timesheetsarm_Salary_Card_Une;Työttömyysvakuutusmaksu
Timesheetshrm_Timesheetshrm;Tuntikorttien kierrätys
Timesheetshrm_Euro;€
Timesheetshrm_Fullname;Nimi
Timesheetshrm_Username;Käyttäjän nimi
Timesheetshrm_Next;Seuraava käsittelijä
Timesheetshrm_Status;Status
Timesheetshrm_Agreeement_Id;Työsopimus
Timesheetshrm_Timesheet_Name;Selite
Timesheetshrm_Refresh;Lataa
Timesheetshrm_Refresh_Tooltip;Lataa tuntikortit tästä napista uudestaan
Timesheetshrm_Search;Etsi
Timesheetshrm_Page;Sivu
Timesheetshrm_No_Timesheets;Ei yhtään tuntikorttia
Timesheetshrm_Edit_Timesheet;Tarkasta valittu tuntikortti
Timesheetshrm_Edit_Timesheet_Tooltip;Tarkasata valittu tuntikortti tästä napista
Timesheetshrm_Create_New;Lisää uusi tuntikortti
Timesheetshrm_Create_New_Tooltip;Lisää uusi tuntikortti tästä napista
Timesheetshrm_Agreement;Työsopimus
Timesheetshrm_Submit;Tallenna
Timesheetshrm_Close;Peruuta
Timesheetshrm_Sending;Tallentaa
Timesheetshrm_Success;Onnistui
Timesheetshrm_Error;Virhe
Timesheetshrm_Success_Text;Tuntikortin luonti onnistui
Timesheetshrm_Memo;Memo
Timesheetsarm_No_Permission;Ei oikeuksia
Timesheetsarm_No_Permission_Text;Et voi muuttaa hyväkyttyä tai maksettua tuntikorttia
Timesheetsarm_Salary_Card;PALKKAERITTELY
Timesheetsarm_Salary_Card_Personnumber;Henkilönumero
Timesheetsarm_Salary_Card_Date;Maksupäivä
Timesheetsarm_Salary_Card_Selite;Selite
Timesheetsarm_Salary_Card_Start_Date;Alkupäivä
Timesheetsarm_Salary_Card_End_Date;Loppupäivä
Timesheetsarm_Salary_Card_Social_VAT;Henkilö-/Y-tunnus
Timesheetsarm_Salary_Card_Tax_Type;Pidätystapa
Timesheetsarm_Salary_Card_Tax_Persents;Veroprosentit
Timesheetsarm_Salary_Card_Salary_Limits;Tuloraja(t)
Timesheetsarm_Salary_Card_Job_Relation;Työsuhde alkoi
Timesheetsarm_Salary_Class;Palkkalaji
Timesheetsarm_Quantity;Määrä
Timesheetsarm_Price;Hinta
Timesheetsarm_Salary_Sum;Summa
Timesheetsarm_Salary_Total;Yhteensä
Timesheetsarm_Salary_Salary;Palkka
Timesheetsarm_Salary_Start_Year;Vuoden alusta
Timesheetsarm_Salary_Come_To_Paid;Maksetaan
Timesheetsarm_Salary_Sum_Total;Maksut yhteensä
Timesheetsarm_Salary_Card_Realestate_Benefit;Asuntoetu
Timesheetsarm_Salary_Card_Garage_Benefit;Autotallietu
Timesheetsarm_Salary_Card_Meal_Benefit;Ravintoetu
Timesheetsarm_Salary_Card_Realestate_Elect_Benefit;Asuntoetu sähkö
Timesheetsarm_Salary_Card_Total_Money;Rahapalkka
Timesheetsarm_Salary_Card_Total_Benefits;Luontoisetu
Timesheetsarm_Salary_Card_Total_Money_Tax;Veronalainen ansio yhteensä
Timesheetsarm_Salary_Card_Total_Tax;Ennakonpidätys